# 意味分類表(見出し語と分類番号の対応)。部門だけを持つ検証用の表である。
# 出典は日本語 WordNet (1.1) と Princeton WordNet 3.0 である。
# 日本語 WordNet の取得元は
# https://github.com/bond-lab/wnja/releases/download/v1.1/wnjpn-ok.tab.gz である。
# Princeton WordNet 3.0 の取得元は
# https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz である。
# 日本語 WordNet の利用条件は https://bond-lab.github.io/wnja/license.txt にある。
# 分類番号の小数点以下第 1 位だけが意味を持ち、残りの 3 桁は 0 で埋めてある。
# 部門は Princeton WordNet の lexname から写した。
# 版: wnja-1.1+pwn-3.0
$	1.1000	1.3000
%	1.1000
お仕舞	1.1000	1.3000	1.5000
お仕舞い	1.1000	1.3000	1.5000
お付き	1.2000
お付き合い	1.1000	1.5000
お付け	1.4000
お代	1.1000	1.3000
お休み	1.1000	1.3000	1.5000
お休みなさい	1.3000
お伴	1.2000
お伽	1.2000	1.3000
お伽噺	1.3000
お伽話	1.3000
お使い	1.3000
お供	1.2000
お側	1.1000	1.2000	1.5000
お傍	1.2000
お先	1.1000
お先者	1.2000
お八つ	1.4000
お冠	1.1000	1.5000
お冷	1.4000
お冷やし	1.4000
お凸	1.5000
お出来	1.1000	1.5000
お別れ	1.3000
お前	1.1000	1.2000	1.5000
お前さん	1.2000
お助け	1.3000
お勤め	1.3000
お化	1.2000	1.3000
お化け	1.1000	1.2000	1.3000
お匙	1.4000
お医者	1.4000
お医者さん	1.2000
お医者さんごっこ	1.3000
お召	1.4000
お召し	1.3000	1.4000
お召しもの	1.4000
お召し物	1.4000
お召物	1.4000
お呼び	1.3000
お喋り	1.2000	1.3000
お回り	1.2000
お国	1.1000	1.2000	1.5000
お土産	1.3000
お坊さん	1.2000
お坊ちゃん	1.2000
お坊っちゃん	1.2000
お墨付き	1.1000	1.3000
お天気	1.5000
お天道様	1.5000
お女中	1.2000
お好	1.3000
お好み	1.3000
お姉さん	1.2000
お姉様	1.2000
お姫様	1.2000
お婆	1.2000
お婆さま	1.2000
お婆さん	1.2000
お婆ん	1.2000
お婆様	1.2000
お嫁さん	1.2000
お嬢さん	1.2000
お嬢様	1.2000
お子さん	1.2000
お子様	1.2000
お孫さん	1.2000
お宅	1.4000
お守	1.2000	1.4000
お守り	1.2000	1.3000	1.4000
お定まり	1.1000	1.3000
お定り	1.1000	1.3000
お宝	1.2000	1.3000
お客	1.2000
お客さま	1.2000
お客さん	1.2000
お客様	1.2000
お家	1.4000
お家芸	1.1000	1.3000
お宿	1.4000
お寺	1.4000
お寺さま	1.4000
お寺様	1.4000
お尚	1.2000
お尻	1.1000	1.2000	1.5000
お屋形	1.4000
お屋敷	1.4000
お山	1.5000
お巡り	1.2000
お巡りさん	1.2000
お師さん	1.2000
お師匠さん	1.2000
お帰り	1.3000
お座敷	1.4000
お引き回し	1.3000
お引き立て	1.3000
お引回	1.3000
お引回し	1.3000
お引立	1.3000
お引立て	1.3000
お役	1.3000
お役ご免	1.3000
お役御免	1.3000
お役所	1.4000
お役所仕事	1.3000
お役目	1.3000
お御足	1.5000
お情	1.1000	1.3000
お情け	1.1000	1.3000
お愛想	1.3000
お慰み	1.3000
お手々	1.5000
お手て	1.5000
お手上げ	1.3000
お手伝い	1.1000	1.2000	1.3000
お手伝いさん	1.2000
お手手	1.5000
お手掛け	1.2000
お手数	1.3000
お手洗い	1.4000
お手玉	1.3000	1.4000
お払い	1.3000
お払い箱	1.3000
お払箱	1.3000
お拾	1.3000
お拾い	1.3000
お持て成し	1.3000
お敵	1.2000
お文	1.3000
お断り	1.3000
お断わり	1.3000
お方	1.2000
お日さま	1.5000
お日様	1.5000
お昼	1.1000	1.4000
お暇	1.1000	1.3000
お月さま	1.5000
お月様	1.5000
お札	1.4000
お株	1.1000	1.3000
お楽しみ	1.3000
お構い	1.3000
お櫛	1.5000
お次	1.2000
お次ぎ	1.2000
お母	1.2000
お母さま	1.2000
お母さん	1.2000	1.3000	1.5000
お母様	1.2000
お気に入り	1.2000	1.3000
お水	1.4000	1.5000
お汁	1.4000
お決まり	1.3000
お決まりのもの	1.3000
お浚	1.3000
お浚い	1.3000
お湯	1.3000
お父さま	1.2000
お父さん	1.2000
お父ちゃん	1.2000
お父っさん	1.2000
お父っつぁん	1.2000
お父様	1.2000
お爺	1.2000
お爺さん	1.2000
お爺様	1.2000
お玉	1.4000
お玉杓子	1.5000
お産	1.3000	1.5000
お百姓さん	1.2000
お皿	1.4000
お盆	1.4000
お目	1.3000
お目出たさ	1.1000	1.3000
お相撲さん	1.2000
お知らせ	1.3000
お礼	1.3000
お祖母	1.2000
お祖母さま	1.2000
お祖母さん	1.2000
お祖母ちゃん	1.2000
お祖母様	1.2000
お祖父	1.2000
お祖父さん	1.2000
お祖父さん・お爺さん	1.2000
お祖父ちゃん	1.2000
お祖父様	1.2000
お祝い	1.1000	1.3000
お祭	1.1000	1.3000
お祭り	1.1000	1.3000
お祭り騒ぎ	1.3000
お積もり	1.3000
お積り	1.3000
お笑い芸人	1.2000
お義姉さん	1.2000
お義姉様	1.2000
お腰	1.5000
お腹	1.5000
お臍	1.5000
お花	1.5000
お花畑	1.4000
お花畠	1.4000
お芽出たさ	1.1000	1.3000
お芽出度	1.3000
お茶	1.4000
お茶の子	1.3000
お茶用ワゴン	1.4000
お茶菓子	1.4000
お荷物	1.2000	1.3000	1.4000
お菓子	1.4000
お菰	1.2000
お薦	1.2000
お袋	1.2000
お襁褓	1.4000
お詫び	1.3000
お誕生日ケーキ	1.4000
お負	1.3000	1.4000
お負け	1.3000	1.4000
お貰	1.2000
お足	1.3000
お辞儀	1.3000
お近づき	1.1000	1.2000	1.5000
お近付き	1.1000	1.2000	1.5000
お返し	1.1000	1.3000	1.4000
お通じ	1.3000	1.5000
お通夜	1.3000
お遍路	1.3000
お道化	1.3000
お達し	1.3000
お邪魔	1.4000
お部屋	1.4000
お酒	1.4000
お金	1.3000
お釜	1.2000
お針	1.3000
お針子	1.2000
お釣	1.3000
お釣り	1.3000	1.4000
お銭	1.3000
お鍋	1.2000
お開き	1.3000
お霊屋	1.4000
お頭	1.2000
お題目	1.3000
お願いごと	1.3000
お願い事	1.3000
お食事処	1.4000
お馴染	1.1000	1.3000
お馴染み	1.1000	1.2000	1.3000
お髪	1.5000
かあかあ	1.5000
かあ様	1.2000
かいな	1.5000
かいば	1.4000
かかし	1.4000
かかり合い	1.1000	1.5000
かかわり合い	1.1000	1.5000
かがみ	1.3000
かがむこと	1.3000
かがり火	1.1000	1.3000
かき傷	1.1000
かき回して捜すこと	1.3000
かき田	1.4000
かぎ針編み	1.4000
かけら	1.1000	1.4000	1.5000
かけ合わせ	1.3000
かけ替え	1.3000
かけ橋	1.1000	1.2000	1.4000
かけ算	1.3000
かこい女	1.2000
かこち種	1.3000
かこつけ	1.3000
かこつけ言	1.3000
かごの鳥	1.2000
かさぶた	1.5000
かさ高さ	1.1000	1.3000
かしら文字	1.3000
かす	1.4000	1.5000
かすり傷	1.1000	1.3000	1.5000
かすり疵	1.1000	1.3000	1.5000
かたくなさ	1.1000	1.3000
かたまり	1.2000	1.5000
かたわ	1.2000
かた書き	1.3000
かちん	1.1000	1.3000	1.4000
かっこうの的	1.2000
かつぎ屋	1.2000
かつら	1.4000
かど	1.1000	1.2000	1.5000
かなとこ雲	1.5000
かなめ	1.3000
かなら	1.1000	1.2000	1.5000
かなり離れた場所	1.1000	1.2000	1.5000
かばんもち	1.2000
かばん持ち	1.2000
かび臭さ	1.1000	1.3000
かぶり笠	1.4000
かまとと	1.1000	1.3000
かみつき	1.3000
かみのけ座	1.5000
